barcode,view_type,product_name,brand,categories,countries,image_url,local_image_path,license,source
8906017290774,front,Soda,Bisleri,"Sodas, Carbonated waters",India,https://images.openfoodfacts.org/images/products/890/601/729/0774/front_en.5.400.jpg,./off_download\images\8906017290774_front.jpg,CC BY-SA 4.0,Open Food Facts
8901262172448,front,Amul Chocolate Brownie,Amul,"Ice creams, Chocolate icecream, Icecream",India,https://images.openfoodfacts.org/images/products/890/126/217/2448/front_en.14.400.jpg,./off_download\images\8901262172448_front.jpg,CC BY-SA 4.0,Open Food Facts
8904004400045,front,,Haldiram's,Appetizers,"France, India",https://images.openfoodfacts.org/images/products/890/400/440/0045/front_en.19.400.jpg,./off_download\images\8904004400045_front.jpg,CC BY-SA 4.0,Open Food Facts
8901012350010,front,Apple drink,johnson and Johnson,"Apple juices, Apple soft drinks",India,https://images.openfoodfacts.org/images/products/890/101/235/0010/front_en.16.400.jpg,./off_download\images\8901012350010_front.jpg,CC BY-SA 4.0,Open Food Facts
8901491000772,front,Lays american onion 80gm,Lay's,Flavoured potato crisps,India,https://images.openfoodfacts.org/images/products/890/149/100/0772/front_en.33.400.jpg,./off_download\images\8901491000772_front.jpg,CC BY-SA 4.0,Open Food Facts
8901058003000,front,Pazzta Cheese Macaroni,Maggi,Pastas,India,https://images.openfoodfacts.org/images/products/890/105/800/3000/front_en.13.400.jpg,./off_download\images\8901058003000_front.jpg,CC BY-SA 4.0,Open Food Facts
8901058015171,front,Nestle KitKat,Nestlé,Candy chocolate bars filled with biscuit,India,https://images.openfoodfacts.org/images/products/890/105/801/5171/front_en.12.400.jpg,./off_download\images\8901058015171_front.jpg,CC BY-SA 4.0,Open Food Facts
8901764112270,front,Coca Cola Zero Sugar,Coca cola zero,Diet cola soft drink,India,https://images.openfoodfacts.org/images/products/890/176/411/2270/front_en.3.400.jpg,./off_download\images\8901764112270_front.jpg,CC BY-SA 4.0,Open Food Facts
8901058016222,front,Pichkoo RICH TOMATO KETCHUP,Maggi,Ketchup,India,https://images.openfoodfacts.org/images/products/890/105/801/6222/front_en.3.400.jpg,./off_download\images\8901058016222_front.jpg,CC BY-SA 4.0,Open Food Facts
7622202315152,front,,,Candy chocolate bars filled with caramel,India,https://images.openfoodfacts.org/images/products/762/220/231/5152/front_en.4.400.jpg,./off_download\images\7622202315152_front.jpg,CC BY-SA 4.0,Open Food Facts
8901058018677,front,Rich Tomato Ketchup,,Ketchup,India,https://images.openfoodfacts.org/images/products/890/105/801/8677/front_en.9.400.jpg,./off_download\images\8901058018677_front.jpg,CC BY-SA 4.0,Open Food Facts
8901058017601,front,Nescafe 10 rupees,,"Coffees, Instant coffees",India,https://images.openfoodfacts.org/images/products/890/105/801/7601/front_en.3.400.jpg,./off_download\images\8901058017601_front.jpg,CC BY-SA 4.0,Open Food Facts
8906009803777,front,Waffy - choco flavoured wafer roll,Dukes,"Chocolate stuffed wafers, Thin crunchy wafer biscuit with chocolate",India,https://images.openfoodfacts.org/images/products/890/600/980/3777/front_en.43.400.jpg,./off_download\images\8906009803777_front.jpg,CC BY-SA 4.0,Open Food Facts
8901262151696,front,Amul Lassi 250 ml,Amul,"Yogurt drinks, Dairy based drink",India,https://images.openfoodfacts.org/images/products/890/126/215/1696/front_en.43.400.jpg,./off_download\images\8901262151696_front.jpg,CC BY-SA 4.0,Open Food Facts
8906010500085,front,Chevdo,Balaji,,India,https://images.openfoodfacts.org/images/products/890/601/050/0085/front_fr.8.400.jpg,./off_download\images\8906010500085_front.jpg,CC BY-SA 4.0,Open Food Facts
8906010500269,front,Poprings Masala flavour,Balaji,Wafers,India,https://images.openfoodfacts.org/images/products/890/601/050/0269/front_en.6.400.jpg,./off_download\images\8906010500269_front.jpg,CC BY-SA 4.0,Open Food Facts
0073893212256,front,,,,"India, Slovenia",https://images.openfoodfacts.org/images/products/007/389/321/2256/front_en.20.400.jpg,./off_download\images\0073893212256_front.jpg,CC BY-SA 4.0,Open Food Facts
3948764175091,front,maaza,Tetra Pak,Sweetened beverages,"India, United States",https://images.openfoodfacts.org/images/products/394/876/417/5091/front_en.4.400.jpg,./off_download\images\3948764175091_front.jpg,CC BY-SA 4.0,Open Food Facts
8901063017627,front,Brit 50-50 maska chaska 40g (20),Britannia,Biscuits,India,https://images.openfoodfacts.org/images/products/890/106/301/7627/front_en.3.400.jpg,./off_download\images\8901063017627_front.jpg,CC BY-SA 4.0,Open Food Facts
8906010500702,front,Chana dal,Balaji Wafers,"Snacks, Chickpeas",India,https://images.openfoodfacts.org/images/products/890/601/050/0702/front_en.5.400.jpg,./off_download\images\8906010500702_front.jpg,CC BY-SA 4.0,Open Food Facts
8901491103800,front,Oats,Quaker,Rolled oats,India,https://images.openfoodfacts.org/images/products/890/149/110/3800/front_en.4.400.jpg,./off_download\images\8901491103800_front.jpg,CC BY-SA 4.0,Open Food Facts
8901030898105,front,Hellman's Real Mayonnaise,Hellman's,Mayonnaises,India,https://images.openfoodfacts.org/images/products/890/103/089/8105/front_en.3.400.jpg,./off_download\images\8901030898105_front.jpg,CC BY-SA 4.0,Open Food Facts
8906009532356,front,CHOCOLAMOND SNACK BAR,MAX PROTEIN,"Energy bars, Protein bars",India,https://images.openfoodfacts.org/images/products/890/600/953/2356/front_en.10.400.jpg,./off_download\images\8906009532356_front.jpg,CC BY-SA 4.0,Open Food Facts
8906004560767,front,,,Greean,"India, United Kingdom",https://images.openfoodfacts.org/images/products/890/600/456/0767/front_en.5.400.jpg,./off_download\images\8906004560767_front.jpg,CC BY-SA 4.0,Open Food Facts
4897036692455,front,Monster Energy Ultra,"Monster, Monster Energy","Energy drinks, Caff","India, United States",https://images.openfoodfacts.org/images/products/489/703/669/2455/front_en.14.400.jpg,./off_download\images\4897036692455_front.jpg,CC BY-SA 4.0,Open Food Facts
7622202272639,front,Cadbury Dairy Milk,Cadbury,"Confectioneries, Milk chocolates",India,https://images.openfoodfacts.org/images/products/762/220/227/2639/front_en.3.400.jpg,./off_download\images\7622202272639_front.jpg,CC BY-SA 4.0,Open Food Facts
8906136651968,front,High Protein Oats Chocolate,Pintola,"Breakfast cereals, Oat",India,https://images.openfoodfacts.org/images/products/890/613/665/1968/front_en.13.400.jpg,./off_download\images\8906136651968_front.jpg,CC BY-SA 4.0,Open Food Facts
8904482000003,front,Hamdard Roohafza,Hamdard,Beverage preparations,India,https://images.openfoodfacts.org/images/products/890/448/200/0003/front_en.12.400.jpg,./off_download\images\8904482000003_front.jpg,CC BY-SA 4.0,Open Food Facts
8901719125348,front,8901719125348,Parle,Biscuits,"India, United States",https://images.openfoodfacts.org/images/products/890/171/912/5348/front_en.14.400.jpg,./off_download\images\8901719125348_front.jpg,CC BY-SA 4.0,Open Food Facts
18111286,front,18111286,,Chocolates,"India, United States",https://images.openfoodfacts.org/images/products/000/001/811/1286/front_en.3.400.jpg,./off_download\images\18111286_front.jpg,CC BY-SA 4.0,Open Food Facts
3948764111259,front,Coca cola zero 300ml can MFD10/04/2025,,Diet cola soft drink,India,https://images.openfoodfacts.org/images/products/394/876/411/1259/front_en.18.400.jpg,./off_download\images\3948764111259_front.jpg,CC BY-SA 4.0,Open Food Facts
89000724,front,kinley water 500ml,,Waters,India,https://images.openfoodfacts.org/images/products/000/008/900/0724/front_en.15.400.jpg,./off_download\images\89000724_front.jpg,CC BY-SA 4.0,Open Food Facts
8904258701707,front,Coconut Water,RAW Pressery,"Waters, Coconut waters",India,https://images.openfoodfacts.org/images/products/890/425/870/1707/front_en.5.400.jpg,./off_download\images\8904258701707_front.jpg,CC BY-SA 4.0,Open Food Facts
8901719121685,front,20 20 butter cookies 200g,parle,Biscuits,India,https://images.openfoodfacts.org/images/products/890/171/912/1685/front_en.4.400.jpg,./off_download\images\8901719121685_front.jpg,CC BY-SA 4.0,Open Food Facts
8906035030055,front,Refined Sunflower Oil,Freedom,Sunflower oils,"India, United States",https://images.openfoodfacts.org/images/products/890/603/503/0055/front_en.3.400.jpg,./off_download\images\8906035030055_front.jpg,CC BY-SA 4.0,Open Food Facts
8904004402247,front,Farali Chiwda,Haldiram's,Potato crisps in sunflower oil,India,https://images.openfoodfacts.org/images/products/890/400/440/2247/front_en.14.400.jpg,./off_download\images\8904004402247_front.jpg,CC BY-SA 4.0,Open Food Facts
8904043926612,front,Himalayan Rock Salt,TATA Salt,Rock salts,India,https://images.openfoodfacts.org/images/products/890/404/392/6612/front_en.24.400.jpg,./off_download\images\8904043926612_front.jpg,CC BY-SA 4.0,Open Food Facts
8908013982646,front,Lahori Zeera,Lahori Zeera,"Sodas, Carbonated fruit soft drink",India,https://images.openfoodfacts.org/images/products/890/801/398/2646/front_en.10.400.jpg,./off_download\images\8908013982646_front.jpg,CC BY-SA 4.0,Open Food Facts
8901499023339,front,"Muesli Fruit, Nut & Seeds",Kellogg's,"Seeds, Mueslis with nuts",India,https://images.openfoodfacts.org/images/products/890/149/902/3339/front_en.3.400.jpg,./off_download\images\8901499023339_front.jpg,CC BY-SA 4.0,Open Food Facts
8901207040337,front,Chyawanprash Awaleha,Dabur,Chyawanprash,"India, Italy",https://images.openfoodfacts.org/images/products/890/120/704/0337/front_en.42.400.jpg,./off_download\images\8901207040337_front.jpg,CC BY-SA 4.0,Open Food Facts
